name,speciality,rating,delivery_time,pricing,offer,conditions
Paaji's Paratha House,"North Indian, Chinese",3.5,44 MINS,Rs. 200 FOR TWO,20% off on orders above Rs. 100,Rs. 10 distance fee applicable
AK Cafe,"Biryani, Fast Food",--,48 MINS,Rs. 200 FOR TWO, ,Rs. 30 distance fee applicable
Cafe Foodie,Fast Food,--,50 MINS,Rs. 400 FOR TWO, ,Rs. 30 distance fee applicable
Cafe 52,Fast Food,3.6,44 MINS,Rs. 200 FOR TWO,25% off on orders above Rs. 100,Rs. 10 distance fee applicable
Chinese Adda,"Chinese, Fast Food, Snacks",--,40 MINS,Rs. 400 FOR TWO,30% off | Use coupon SWIGGYIT,Rs. 10 distance fee applicable
Soul Handi,"North Indian, Chinese",--,46 MINS,Rs. 500 FOR TWO,20% off on all orders,Rs. 30 distance fee applicable
The Chilika Restaurant,"North Indian, Chinese, Bengali",3.6,41 MINS,Rs. 500 FOR TWO,30% off | Use coupon SWIGGYIT, 
Chaska Maska ,"Fast Food, North Indian, Chinese, Ice Cream",3.3,39 MINS,Rs. 350 FOR TWO,Free delight on orders above Rs. 300,Rs. 10 distance fee applicable
Singh Dhaba,North Indian,3.2,46 MINS,Rs. 200 FOR TWO, ,Rs. 30 distance fee applicable
Shahji's Parantha House,"North Indian, Punjabi, Indian",4.1,44 MINS,Rs. 300 FOR TWO, ,Rs. 10 distance fee applicable
AK Caterers & Biryani House,"Fast Food, Biryani, North Indian",3.4,50 MINS,Rs. 200 FOR TWO, ,Rs. 30 distance fee applicable
Masala Chaiwala,"Continental, Fast Food, Beverages",4.1,42 MINS,Rs. 300 FOR TWO, ,Rs. 10 distance fee applicable
Singh Ching,"Chinese, Kebabs, North Indian",--,46 MINS,Rs. 350 FOR TWO,20% off on orders above Rs. 129,Rs. 30 distance fee applicable
Biryani Wala,Fast Food,3.0,47 MINS,Rs. 300 FOR TWO,30% off on orders above Rs. 129,Rs. 30 distance fee applicable
Al Madina Biryani House,"Biryani, Fast Food, North Indian",3.4,50 MINS,Rs. 200 FOR TWO, ,Rs. 30 distance fee applicable
800 momos,Chinese,--,50 MINS,Rs. 250 FOR TWO, ,Rs. 30 distance fee applicable
Rolling Rolls,Indian,--,50 MINS,Rs. 250 FOR TWO, ,Rs. 30 distance fee applicable
Flavours Of China,Chinese,--,47 MINS,Rs. 300 FOR TWO,15% off on all orders,Rs. 30 distance fee applicable
Masala World,"Biryani, Chinese, Indian",--,42 MINS,Rs. 200 FOR TWO, ,Rs. 10 distance fee applicable
Masala Kitchen,"North Indian, Chinese",--,42 MINS,Rs. 300 FOR TWO, ,Rs. 10 distance fee applicable
Chacha's kitchen & catering,"Biryani, North Indian, Combo, Chinese",3.3,47 MINS,Rs. 350 FOR TWO,20% off on all orders,Rs. 30 distance fee applicable
Andhra Biryani,"Biryani, Chinese, North Indian",3.6,41 MINS,Rs. 300 FOR TWO, ,Rs. 10 distance fee applicable
Hot Pan Pizza,Indian,--,50 MINS,Rs. 400 FOR TWO, ,Rs. 30 distance fee applicable
Bhiwandi Darbar,North Indian,3.6,46 MINS,Rs. 400 FOR TWO, ,Rs. 10 distance fee applicable
Dhhyaas's Hyderabad Biryani Paradise,"Biryani, North Indian",--,47 MINS,Rs. 300 FOR TWO,10% off on orders above Rs. 99,Rs. 30 distance fee applicable
The Coffee Cafe,"Beverages, Fast Food",3.3,48 MINS,Rs. 250 FOR TWO,30% off | Use coupon JUMBO,Rs. 30 distance fee applicable
18 Hrs,"Pizzas, Fast Food, Chinese, Snacks, Beverages",--,39 MINS,Rs. 400 FOR TWO,30% off | Use coupon SWIGGYIT,Rs. 10 distance fee applicable
Kiraaak,"Chinese, North Indian",--,42 MINS,Rs. 300 FOR TWO, ,Rs. 10 distance fee applicable
The Happy Place Cafe,Cafe,--,39 MINS,Rs. 100 FOR TWO, , 
Moshi Moshi,Asian,--,34 MINS,Rs. 1600 FOR TWO, , 
Foodies Tiffin & Catering Services,Indian,--,52 MINS,Rs. 300 FOR TWO, ,Rs. 30 distance fee applicable
Rolling Rolls,Indian,--,50 MINS,Rs. 250 FOR TWO, ,Rs. 30 distance fee applicable
All Day Breakfast,"Chinese, North Indian",4.3,42 MINS,Rs. 300 FOR TWO, ,Rs. 10 distance fee applicable
Flavours Of China,Chinese,--,47 MINS,Rs. 300 FOR TWO,15% off on all orders,Rs. 30 distance fee applicable
Masala World,"Biryani, Chinese, Indian",--,42 MINS,Rs. 200 FOR TWO, ,Rs. 10 distance fee applicable
Idli Sambar,South Indian,--,34 MINS,Rs. 200 FOR TWO, , 
Shreenath Sandwich,Fast Food,--,38 MINS,Rs. 150 FOR TWO, , 
Masala Kitchen,"North Indian, Chinese",--,42 MINS,Rs. 300 FOR TWO, ,Rs. 10 distance fee applicable
Chacha's kitchen & catering,"Biryani, North Indian, Combo, Chinese",3.3,47 MINS,Rs. 350 FOR TWO,20% off on all orders,Rs. 30 distance fee applicable
